,azusa_mifuyu,,,,,,,,,,,,
,azusagawa_kaede,,,,,,,,,,,,
,azusagawa_sakuta,,,,,,,,,,,,
,azusawa_kohane,,,,,,,,,,,,
,b.b._hood,,,,,,,,,,,,
,baba_konomi,,,,,,,,,,,,
,baby,,,,,,,,,,,,
,baby_5,,,,,,,,,,,,
,baby_mario,,,,,,,,,,,,
,bache_(azur_lane),,,,,,,,,,,,
,bache_(gorgeous_speed-star)_(azur_lane),,,,,,,,,,,,
,bache_(showy_sports_star)_(azur_lane),,,,,,,,,,,,
,bachira_meguru,,,,,,,,,,,,
,bachou_mouki,,,,,,,,,,,,
,backbeako_(torotei),,,,,,,,,,,,
,backbeard,,,,,,,,,,,,
,bad_end_beauty,,,,,,,,,,,,
,bad_end_happy,,,,,,,,,,,,
,bad_end_peace,,,,,,,,,,,,
,badboyhalo,,,,,,,,,,,,
,badtz-maru,,,,,,,,,,,,
,bae_minah_(chaesu),,,,,,,,,,,,
,bagpipe_(arknights),,,,,,,,,,,,
,bagpipe_(queen_no._1)_(arknights),,,,,,,,,,,,
,bahamut_(final_fantasy),,,,,,,,,,,,
,bai_(granblue_fantasy),,,,,,,,,,,,
,bai_ling_(touqi_guaitan),,,,,,,,,,,,
,bai_winchester,,,,,,,,,,,,
,baiheng_(honkai:_star_rail),,,,,,,,,,,,
,baiken,,,,,,,,,,,,
,bailu_(honkai:_star_rail),,,,,,,,,,,,
,baizhi_(wuthering_waves),,,,,,,,,,,,
,baizhu_(genshin_impact),,,,,,,,,,,,
,baji_keisuke,,,,,,,,,,,,
,bakugou_katsuki,,,,,,,,,,,,
,bakugou_mitsuki,,,,,,,,,,,,
,balalaika_(black_lagoon),,,,,,,,,,,,
,bald_eagle_(kemono_friends),,,,,,,,,,,,
,ball_guy,,,,,,,,,,,,
,balloon_party,,,,,,,,,,,,
,balor_(housamo),,,,,,,,,,,,
,balrog_(street_fighter),,,,,,,,,,,,
,balthier,,,,,,,,,,,,
,balthus_von_albrecht,,,,,,,,,,,,
,baltimore_(after-school_ace)_(azur_lane),,,,,,,,,,,,
,baltimore_(azur_lane),,,,,,,,,,,,
,baltimore_(black_ace)_(azur_lane),,,,,,,,,,,,
,baltimore_(evening_breeze_minuet)_(azur_lane),,,,,,,,,,,,
,baltimore_(finish_line_flagbearer)_(azur_lane),,,,,,,,,,,,
,baltimore_(muse)_(azur_lane),,,,,,,,,,,,
,bambietta_basterbine,,,,,,,,,,,,
,bambinata_(pgr),,,,,,,,,,,,
,bambinata_(punishing:_gray_raven),,,,,,,,,,,,
,bamboo_memory_(umamusume),,,,,,,,,,,,
,ban_hada,,,,,,,,,,,,
,banagher_links,,,,,,,,,,,,
,banana_(girls'_frontline),,,,,,,,,,,,
,bandana_waddle_dee,,,,,,,,,,,,
,bandou_mikuru,,,,,,,,,,,,
,banette,,,,,,,,,,,,
,bangalore_(apex_legends),,,,,,,,,,,,
,banica_conchita,,,,,,,,,,,,
,banjo_(banjo-kazooie),,,,,,,,,,,,
,banshouya_ena,,,,,,,,,,,,
,banzoin_hakka,,,,,,,,,,,,
,bao_(vtuber),,,,,,,,,,,,
,bao_(vtuber)_(1st_costume),,,,,,,,,,,,
,baobhan_sith_(fate),,,,,,,,,,,,
,baobhan_sith_(first_ascension)_(fate),,,,,,,,,,,,
,baobhan_sith_(second_ascension)_(fate),,,,,,,,,,,,
,baobhan_sith_(swimsuit_pretender)_(fate),,,,,,,,,,,,
,baobhan_sith_(swimsuit_pretender)_(first_ascension)_(fate),,,,,,,,,,,,
,baobhan_sith_(swimsuit_pretender)_(second_ascension)_(fate),,,,,,,,,,,,
,baobhan_sith_(swimsuit_pretender)_(third_ascension)_(fate),,,,,,,,,,,,
,baobhan_sith_(third_ascension)_(fate),,,,,,,,,,,,
,baphomet_(grizz),,,,,,,,,,,,
,baphomet_(monster_girl_encyclopedia),,,,,,,,,,,,
,barasuishou,,,,,,,,,,,,
,barawa,,,,,,,,,,,,
,barbara_(dq6),,,,,,,,,,,,
,barbara_(genshin_impact),,,,,,,,,,,,
,barbara_(summertime_sparkle)_(genshin_impact),,,,,,,,,,,,
,barbara_gordon,,,,,,,,,,,,
,barbara_parker,,,,,,,,,,,,
,barbariccia,,,,,,,,,,,,
,barbatos_(genshin_impact),,,,,,,,,,,,
,barbie_(character),,,,,,,,,,,,
,bard_(final_fantasy),,,,,,,,,,,,
,bardiche_(assault_form)_(nanoha),,,,,,,,,,,,
,bardiche_(axe_form)_(nanoha),,,,,,,,,,,,
,bardiche_(nanoha),,,,,,,,,,,,
,bardiche_(riot_zanber_stinger)_(nanoha),,,,,,,,,,,,
,bardiche_(standby_form)_(nanoha),,,,,,,,,,,,
,bardiche_(zanber_form)_(nanoha),,,,,,,,,,,,
,bardock,,,,,,,,,,,,
,bare_legs_girl_(kamizaki_hibana),,,,,,,,,,,,
,barghest_(fate),,,,,,,,,,,,
,barghest_(ice_warrior)_(fate),,,,,,,,,,,,
,barghest_(second_ascension)_(fate),,,,,,,,,,,,
,barghest_(swimsuit_archer)_(fate),,,,,,,,,,,,
,barghest_(swimsuit_archer)_(final_ascension)_(fate),,,,,,,,,,,,
,barghest_(swimsuit_archer)_(first_ascension)_(fate),,,,,,,,,,,,
,barghest_(swimsuit_archer)_(second_ascension)_(fate),,,,,,,,,,,,
,barnaby_brooks_jr.,,,,,,,,,,,,
,barok_van_zieks,,,,,,,,,,,,
,baron_bunny_(genshin_impact),,,,,,,,,,,,
,barrel_(live_a_hero),,,,,,,,,,,,
,barret_wallace,,,,,,,,,,,,
,barry_(pokemon),,,,,,,,,,,,
,bartholomew_kuma,,,,,,,,,,,,
,bartholomew_roberts_(fate),,,,,,,,,,,,
,bartz_klauser,,,,,,,,,,,,
,baselard,,,,,,,,,,,,
,bashou_(senran_kagura),,,,,,,,,,,,
,basil_(faraway)_(omori),,,,,,,,,,,,
,basil_(headspace)_(omori),,,,,,,,,,,,
,basil_(omori),,,,,,,,,,,,
,bass.exe_(mega_man),,,,,,,,,,,,
,bass_(mega_man),,,,,,,,,,,,
,bastemon,,,,,,,,,,,,
,bastet_(houtengeki),,,,,,,,,,,,
,bastet_(mythology),,,,,,,,,,,,
,bastet_(p&d),,,,,,,,,,,,
,bastion_(overwatch),,,,,,,,,,,,
,bat-eared_fox_(kemono_friends),,,,,,,,,,,,
,bataan_(azur_lane),,,,,,,,,,,,
,batgirl,,,,,,,,,,,,
,batman,,,,,,,,,,,,
,batou_(gits),,,,,,,,,,,,
,batsubyou,,,,,,,,,,,,
,battle_bunny_riven,,,,,,,,,,,,
,battleship_princess,,,,,,,,,,,,
,battleship_summer_princess,,,,,,,,,,,,
,battleship_water_oni,,,,,,,,,,,,
,bay_(nikke),,,,,,,,,,,,
,bayleef,,,,,,,,,,,,
,baymax,,,,,,,,,,,,
,bayonetta,,,,,,,,,,,,
,bazett_fraga_mcremitz,,,,,,,,,,,,
,bb-28,,,,,,,,,,,,
,bb_(bb_shot!)_(fate),,,,,,,,,,,,
,bb_(fate),,,,,,,,,,,,
,bb_(fate/extra),,,,,,,,,,,,
,bb_(swimsuit_mooncancer)_(fate),,,,,,,,,,,,
,bb_(swimsuit_mooncancer)_(first_ascension)_(fate),,,,,,,,,,,,
,bb_(swimsuit_mooncancer)_(second_ascension)_(fate),,,,,,,,,,,,
,bb_(swimsuit_mooncancer)_(third_ascension)_(fate),,,,,,,,,,,,
,bb_cosmo_(fate),,,,,,,,,,,,
,bb_dubai_(fate),,,,,,,,,,,,
,bea_(pokemon),,,,,,,,,,,,
,beagle_(arknights),,,,,,,,,,,,
,beam_(chainsaw_man),,,,,,,,,,,,
,beanstalk_(arknights),,,,,,,,,,,,
,beanstalk_(gift_uncompleted)_(arknights),,,,,,,,,,,,
,bearer_of_the_curse,,,,,,,,,,,,
,beast_boy_(dc),,,,,,,,,,,,
,beatrice_(princess_principal),,,,,,,,,,,,
,beatrice_(re:zero),,,,,,,,,,,,
,beatrice_(umineko),,,,,,,,,,,,
,beatrice_kushan,,,,,,,,,,,,
,beatrix_(ff9),,,,,,,,,,,,
,beatrix_(granblue_fantasy),,,,,,,,,,,,
,beatrix_(halloween)_(granblue_fantasy),,,,,,,,,,,,
,beatrix_bremer,,,,,,,,,,,,
,beautifly,,,,,,,,,,,,
,beauty_(pokemon),,,,,,,,,,,,
,bebe-tan,,,,,,,,,,,,
,bebinn,,,,,,,,,,,,
,becky_blackbell,,,,,,,,,,,,
,bede_(pokemon),,,,,,,,,,,,
,bedivere_(fate),,,,,,,,,,,,
,bedman,,,,,,,,,,,,
,beedrill,,,,,,,,,,,,
,beelstarmon,,,,,,,,,,,,
,beelzebub_(helltaker),,,,,,,,,,,,
,beelzebumon,,,,,,,,,,,,
,beenic,,,,,,,,,,,,
,beerus,,,,,,,,,,,,
,beeswax_(arknights),,,,,,,,,,,,
,beeswax_(weisser_sand)_(arknights),,,,,,,,,,,,
,beidou_(genshin_impact),,,,,,,,,,,,
,bel_(cyancapsule),,,,,,,,,,,,
,bela_dimitrescu,,,,,,,,,,,,
,belafu,,,,,,,,,,,,
,belafu_(human),,,,,,,,,,,,
,belarus_(hetalia),,,,,,,,,,,,
,belfast_(azur_lane),,,,,,,,,,,,
,belfast_(blissful_service)_(azur_lane),,,,,,,,,,,,
,belfast_(iridescent_rosa)_(azur_lane),,,,,,,,,,,,
,belfast_(piping-hot_perfection)_(azur_lane),,,,,,,,,,,,
,belfast_(shopping_with_the_head_maid)_(azur_lane),,,,,,,,,,,,
,belfast_(the_noble_attendant)_(azur_lane),,,,,,,,,,,,
,belgium_(hetalia),,,,,,,,,,,,
,belial_(granblue_fantasy),,,,,,,,,,,,
,bell_cranel,,,,,,,,,,,,
,belldandy,,,,,,,,,,,,
,belle_(disney),,,,,,,,,,,,
,belle_(zenless_zone_zero),,,,,,,,,,,,
,bellelba_(pokemon),,,,,,,,,,,,
,bellemere,,,,,,,,,,,,
,bellezza_felutia,,,,,,,,,,,,
,bellibolt,,,,,,,,,,,,
,bellona_(azur_lane),,,,,,,,,,,,
,bellossom,,,,,,,,,,,,
,bellows_(suisei_no_gargantia),,,,,,,,,,,,
,bellringer_angel,,,,,,,,,,,,
,belmond_banderas,,,,,,,,,,,,
,belo_betty,,,,,,,,,,,,
,belphegor_(reborn),,,,,,,,,,,,
,belphegor_(umineko),,,,,,,,,,,,
,ben_bigger,,,,,,,,,,,,
,ben_tennyson,,,,,,,,,,,,
,beni-chan_(beijuu),,,,,,,,,,,,
,beni-enma,,,,,,,,,,,,
,benikurage_(cookie),,,,,,,,,,,,
,benjamin_(project_moon),,,,,,,,,,,,
,benjamin_kirby_tennyson,,,,,,,,,,,,
,benn_beckman,,,,,,,,,,,,
,bennett_(genshin_impact),,,,,,,,,,,,
,benten_(urusei_yatsura),,,,,,,,,,,,
,beowulf_(fate),,,,,,,,,,,,
,beowulf_(skullgirls),,,,,,,,,,,,
,bepo,,,,,,,,,,,,
,beppo_(granblue_fantasy),,,,,,,,,,,,
,berezovich_kryuger_(girls'_frontline),,,,,,,,,,,,
,bergamond_(crave_saga),,,,,,,,,,,,
,bergman's_bear_(kemono_friends),,,,,,,,,,,,
,bernadetta_von_varley,,,,,,,,,,,,
,berserker_(fate/zero),,,,,,,,,,,,
,berserker_(granblue_fantasy),,,,,,,,,,,,
,bertolt_hoover,,,,,,,,,,,,
,beruka_(fire_emblem),,,,,,,,,,,,
,beta_(inazuma_eleven),,,,,,,,,,,,
,beta_(kage_no_jitsuryokusha_ni_naritakute!),,,,,,,,,,,,
,betelgammamon,,,,,,,,,,,,
,betoko,,,,,,,,,,,,
,bettie_(pokemon),,,,,,,,,,,,
,bewear,,,,,,,,,,,,
,bhima_(fate),,,,,,,,,,,,
,bianca_(champion)_(pokemon),,,,,,,,,,,,
,bianca_(dq5),,,,,,,,,,,,
,bianca_(pgr),,,,,,,,,,,,
,bianca_(pokemon),,,,,,,,,,,,
,bianca_(pokemon_heroes),,,,,,,,,,,,
,bianca_(punishing:_gray_raven),,,,,,,,,,,,
,bianka_durandal_ataegina,,,,,,,,,,,,
,bianka_durandal_ataegina_(bright_knight:_excelsis),,,,,,,,,,,,
,bianka_durandal_ataegina_(dea_anchora),,,,,,,,,,,,
,bianka_durandal_ataegina_(palatinus_equinox),,,,,,,,,,,,
,bianka_durandal_ataegina_(valkyrie_gloria),,,,,,,,,,,,
,bibi_(tokoyami_towa),,,,,,,,,,,,
,biburi_(precure),,,,,,,,,,,,
,bicute_bunnies_miku,,,,,,,,,,,,
,bidoof,,,,,,,,,,,,
,big_bad_wolf,,,,,,,,,,,,
,big_bird_(project_moon),,,,,,,,,,,,
,big_bob_(arknights),,,,,,,,,,,,
,big_boss,,,,,,,,,,,,
,big_macintosh,,,,,,,,,,,,
,big_man_(splatoon),,,,,,,,,,,,
,big_sister_(navigavi),,,,,,,,,,,,
,big_the_cat,,,,,,,,,,,,
,biker_peach,,,,,,,,,,,,
,biko_pegasus_(umamusume),,,,,,,,,,,,
,bili_girl_22,,,,,,,,,,,,
,bili_girl_33,,,,,,,,,,,,
,bill_cipher,,,,,,,,,,,,
,billy_herrington,,,,,,,,,,,,
,billy_kane,,,,,,,,,,,,
,billy_kid,,,,,,,,,,,,
,billy_russell_(dickfish),,,,,,,,,,,,
,billy_the_kid_(fate),,,,,,,,,,,,
,binah_(blue_archive),,,,,,,,,,,,
,binah_(project_moon),,,,,,,,,,,,
,birdy_cephon_altera,,,,,,,,,,,,
,biscuit_krueger,,,,,,,,,,,,
,bisharp,,,,,,,,,,,,
,bismarck_(azur_lane),,,,,,,,,,,,
,bismarck_(beacon_of_the_iron_blood)_(azur_lane),,,,,,,,,,,,
,bismarck_(kancolle),,,,,,,,,,,,
,bismarck_(warship_girls_r),,,,,,,,,,,,
,bismarck_zwei_(azur_lane),,,,,,,,,,,,
,bison_(arknights),,,,,,,,,,,,
,bitey_(arknights),,,,,,,,,,,,
,biwa_hayahide_(umamusume),,,,,,,,,,,,
,bkornblume,,,,,,,,,,,,
,black-haired_demon_girl_(shimmer),,,,,,,,,,,,
,black-headed_ibis_(kemono_friends),,,,,,,,,,,,
,black-tailed_gull_(kemono_friends),,,,,,,,,,,,
,black-tailed_prairie_dog_(kemono_friends),,,,,,,,,,,,
,black_canary,,,,,,,,,,,,
,black_cat_(marvel),,,,,,,,,,,,
,black_cat_d.va,,,,,,,,,,,,
,black_cellien_(kemono_friends),,,,,,,,,,,,
,black_dahlia,,,,,,,,,,,,
,black_delmo,,,,,,,,,,,,
,black_delmo_leader,,,,,,,,,,,,
,black_dragon_(kemono_friends),,,,,,,,,,,,
,black_gold_saw,,,,,,,,,,,,
,black_hanekawa,,,,,,,,,,,,
,black_heart_(neptunia),,,,,,,,,,,,
,black_hood,,,,,,,,,,,,
,black_jack_(character),,,,,,,,,,,,
,black_jaguar_(kemono_friends),,,,,,,,,,,,
,black_knight_(fire_emblem),,,,,,,,,,,,
,black_knight_(granblue_fantasy),,,,,,,,,,,,
,black_lady_(sailor_moon),,,,,,,,,,,,
,black_leopard_(kemono_friends),,,,,,,,,,,,
,black_lilith_(last_origin),,,,,,,,,,,,
,black_mage_(final_fantasy),,,,,,,,,,,,
,black_maria_(one_piece),,,,,,,,,,,,
,black_prince_(azur_lane),,,,,,,,,,,,
,black_rock_shooter_(character),,,,,,,,,,,,
,black_rose,,,,,,,,,,,,
,black_serval_(kemono_friends),,,,,,,,,,,,
,black_sister,,,,,,,,,,,,
,black_star,,,,,,,,,,,,
,black_suit_(blue_archive),,,,,,,,,,,,
,black_swan_(honkai:_star_rail),,,,,,,,,,,,
,black_widow,,,,,,,,,,,,
,black_wyrm_(last_origin),,,,,,,,,,,,
,blackarachnia,,,,,,,,,,,,
,blackbuck_(kemono_friends),,,,,,,,,,,,
,blackfire,,,,,,,,,,,,
,blackhole-chan,,,,,,,,,,,,
,blacknight_(arknights),,,,,,,,,,,,
,blacksmith_(ragnarok_online),,,,,,,,,,,,
,blacktailmon,,,,,,,,,,,,
,blade_(honkai:_star_rail),,,,,,,,,,,,
,blade_(sesame_cake)_(honkai:_star_rail),,,,,,,,,,,,
,blaidd_the_half-wolf,,,,,,,,,,,,
,blair_(soul_eater),,,,,,,,,,,,
,blake_belladonna,,,,,,,,,,,,
,blanc_(neptunia),,,,,,,,,,,,
,blanc_(nikke),,,,,,,,,,,,
,blanc_neige,,,,,,,,,,,,
,blanca_(fate),,,,,,,,,,,,
,blanche_neige_(svet_yomi),,,,,,,,,,,,
,blanka,,,,,,,,,,,,
,blanka-chan,,,,,,,,,,,,
,blastoise,,,,,,,,,,,,
,blaze_(arknights),,,,,,,,,,,,
,blaze_fielding,,,,,,,,,,,,
,blaze_the_cat,,,,,,,,,,,,
,blaziken,,,,,,,,,,,,
,blemishine_(arknights),,,,,,,,,,,,
,blemishine_(moon_catastrborn)_(arknights),,,,,,,,,,,,
,blind_girl_(popopoka),,,,,,,,,,,,
,blinky_(hunter_x_hunter),,,,,,,,,,,,
,blipper,,,,,,,,,,,,
,blonde_dog_girl_(ri-net),,,,,,,,,,,,
,blonde_girl_(cloba),,,,,,,,,,,,
,blonde_girl_(itou),,,,,,,,,,,,
,blonde_girl_(okpriko),,,,,,,,,,,,
,blonde_girl_(popopoka),,,,,,,,,,,,
,blonney,,,,,,,,,,,,
,blood_devil_(chainsaw_man),,,,,,,,,,,,
,blood_elf,,,,,,,,,,,,
,bloodhound_(apex_legends),,,,,,,,,,,,
,bloody_marie_(skullgirls),,,,,,,,,,,,
,bloody_queen_(elsword),,,,,,,,,,,,
,bloody_wolf_(elden_ring),,,,,,,,,,,,
,bloom_(irys),,,,,,,,,,,,
,bloop_(gawr_gura),,,,,,,,,,,,
,blooper_(mario),,,,,,,,,,,,
,blossom_(ppg),,,,,,,,,,,,
,blu_pyro_(tf2),,,,,,,,,,,,
,blubberbeast_(genshin_impact),,,,,,,,,,,,
,blue-eyes_white_dragon,,,,,,,,,,,,
,blue_(among_us),,,,,,,,,,,,
,blue_cat_(precure),,,,,,,,,,,,
,blue_delmo,,,,,,,,,,,,
,blue_dragon_(kemono_friends),,,,,,,,,,,,
,blue_mage_(final_fantasy),,,,,,,,,,,,
,blue_mary,,,,,,,,,,,,
,blue_oak,,,,,,,,,,,,
,blue_pikmin,,,,,,,,,,,,
,blue_poison_(arknights),,,,,,,,,,,,
,blue_poison_(elite_ii)_(arknights),,,,,,,,,,,,
,blue_poison_(shoal_beat)_(arknights),,,,,,,,,,,,
,blue_rose_(tiger_&_bunny),,,,,,,,,,,,
,blue_whale_(kemono_friends),,,,,,,,,,,,
,bluecher_(azur_lane),,,,,,,,,,,,
,bluesona_(bluethebone),,,,,,,,,,,,
,bmo,,,,,,,,,,,,
,boa_hancock,,,,,,,,,,,,
,bob-omb,,,,,,,,,,,,
,bobobo-bo_bo-bobo_(character),,,,,,,,,,,,
,boise_(azur_lane),,,,,,,,,,,,
,bojji,,,,,,,,,,,,
,boko_(girls_und_panzer),,,,,,,,,,,,
,bokoblin,,,,,,,,,,,,
,bokukawauso,,,,,,,,,,,,
,bokuto_koutarou,,,,,,,,,,,,
,bolin,,,,,,,,,,,,
,bomb_(final_fantasy),,,,,,,,,,,,
,bomb_devil_(chainsaw_man),,,,,,,,,,,,
,bon_(vtuber),,,,,,,,,,,,
,bonanus_(genshin_impact),,,,,,,,,,,,
,bond_(spy_x_family),,,,,,,,,,,,
,bondrewd,,,,,,,,,,,,
,boney,,,,,,,,,,,,
,bonnie_(bunny_gif),,,,,,,,,,,,
,bonnie_(pokemon),,,,,,,,,,,,
,boo_(mario),,,,,,,,,,,,
,boo_tao_(genshin_impact),,,,,,,,,,,,
,boo_tao_(genshin_impact) hu_tao_(genshin_impact),,,,,,,,,,,,
,boogeyman_(housamo),,,,,,,,,,,,
,book_of_fuxi,,,,,,,,,,,,
,boota_(ttgl),,,,,,,,,,,,
,boothill_(honkai:_star_rail),,,,,,,,,,,,
,boros_(ouro_kronii),,,,,,,,,,,,
,borsalino_(kizaru),,,,,,,,,,,,
,bort,,,,,,,,,,,,
,boryeon_(last_origin),,,,,,,,,,,,
,bos_brunnen,,,,,,,,,,,,
,bosacius_(genshin_impact),,,,,,,,,,,,
,botan_(clannad),,,,,,,,,,,,
,botan_(yu_yu_hakusho),,,,,,,,,,,,
,bottle_miku,,,,,,,,,,,,
,boudica_(fate),,,,,,,,,,,,
,boudica_(third_ascension)_(fate),,,,,,,,,,,,
,bounsweet,,,,,,,,,,,,
,bow_(paper_mario),,,,,,,,,,,,
,bowser,,,,,,,,,,,,
,bowser_jr.,,,,,,,,,,,,
,bowsette,,,,,,,,,,,,
,bowsette_jr.,,,,,,,,,,,,
,boyfriend_(friday_night_funkin'),,,,,,,,,,,,
,bra_(dragon_ball),,,,,,,,,,,,
,bracelet_girls,,,,,,,,,,,,
,bradamante_(fate),,,,,,,,,,,,
,bradamante_(fate) bradamante_(third_ascension)_(fate),,,,,,,,,,,,
,bradamante_(first_ascension)_(fate),,,,,,,,,,,,
,bradamante_(third_ascension)_(fate),,,,,,,,,,,,
,braixen,,,,,,,,,,,,
,branwen_(queen's_blade),,,,,,,,,,,,
,brassius_(pokemon),,,,,,,,,,,,
,braum_(league_of_legends),,,,,,,,,,,,
,bravern,,,,,,,,,,,,
,brazilian_miku,,,,,,,,,,,,
,breloom,,,,,,,,,,,,
,bremerton_(azur_lane),,,,,,,,,,,,
,bremerton_(day-off_date)_(azur_lane),,,,,,,,,,,,
,bremerton_(kung_fu_cruiser)_(azur_lane),,,,,,,,,,,,
,bremerton_(pillowed_counseling)_(azur_lane),,,,,,,,,,,,
,bremerton_(relaxation_consultation)_(azur_lane),,,,,,,,,,,,
,bremerton_(scorching-hot_training)_(azur_lane),,,,,,,,,,,,
,brendan_(pokemon),,,,,,,,,,,,
,brest_(azur_lane),,,,,,,,,,,,
,briar_(league_of_legends),,,,,,,,,,,,
,briar_rose_(sinoalice),,,,,,,,,,,,
,brick,,,,,,,,,,,,
,brid_(nikke),,,,,,,,,,,,
,bridget_(guilty_gear),,,,,,,,,,,,
,brief_(psg),,,,,,,,,,,,
,brighid_(xenoblade),,,,,,,,,,,,
,bright_noa,,,,,,,,,,,,
,brigid_(fire_emblem),,,,,,,,,,,,
,brigitta_(metaphor:_refantazio),,,,,,,,,,,,
,brigitte_(overwatch),,,,,,,,,,,,
,brionne,,,,,,,,,,,,
,britannia_angel,,,,,,,,,,,,
,britomart_(fate),,,,,,,,,,,,
,broca_(arknights),,,,,,,,,,,,
,broccoli_(ohasi),,,,,,,,,,,,
,brock_(pokemon),,,,,,,,,,,,
,broly_(dragon_ball_super),,,,,,,,,,,,
,broly_(dragon_ball_z),,,,,,,,,,,,
,bronto_burt,,,,,,,,,,,,
,bronya_rand,,,,,,,,,,,,
,bronya_zaychik,,,,,,,,,,,,
,bronya_zaychik_(black_nucleus),,,,,,,,,,,,
,bronya_zaychik_(haxxor_bunny),,,,,,,,,,,,
,bronya_zaychik_(herrscher_of_reason),,,,,,,,,,,,
,bronya_zaychik_(herrscher_of_truth),,,,,,,,,,,,
,bronya_zaychik_(outstanding_attitude),,,,,,,,,,,,
,bronya_zaychik_(silverwing:_n-ex),,,,,,,,,,,,
,bronya_zaychik_(snowy_sniper),,,,,,,,,,,,
,bronya_zaychik_(valkyrie_chariot),,,,,,,,,,,,
,bronya_zaychik_(wolf's_dawn),,,,,,,,,,,,
,bronya_zaychik_(yamabuki_armor),,,,,,,,,,,,
,brook_(one_piece),,,,,,,,,,,,
,brooke_(mleth),,,,,,,,,,,,
,brooklyn_(azur_lane),,,,,,,,,,,,
,brooklyn_(kancolle),,,,,,,,,,,,
,brown_bear_(kemono_friends),,,,,,,,,,,,
,brown_hair_girl_(nagioka),,,,,,,,,,,,
,brown_haired_glasses_elf_(houtengeki),,,,,,,,,,,,
,brown_kemomimi-chan_(krr),,,,,,,,,,,,
,brown_long-eared_bat_(kemono_friends),,,,,,,,,,,,
,brown_thoroughbred_(kemono_friends),,,,,,,,,,,,
,brownie_(last_origin),,,,,,,,,,,,
,bruce_banner,,,,,,,,,,,,
,bruce_wayne,,,,,,,,,,,,
,brucie_(infighter821),,,,,,,,,,,,
,bruenhilde_(azur_lane),,,,,,,,,,,,
,bruno_(yu-gi-oh!),,,,,,,,,,,,
,bruno_bucciarati,,,,,,,,,,,,
,bryan_fury,,,,,,,,,,,,
,brynhildr_(fate),,,,,,,,,,,,
,bsapricot_(vtuber),,,,,,,,,,,,
,bubba_(watson_amelia),,,,,,,,,,,,
,bubble_girl_(boku_no_hero_academia),,,,,,,,,,,,
,bubble_head_nurse,,,,,,,,,,,,
,bubbles_(ppg),,,,,,,,,,,,
,bubi_(ironmouse),,,,,,,,,,,,
,bucky_(chainsaw_man),,,,,,,,,,,,
,buddha,,,,,,,,,,,,
,budew,,,,,,,,,,,,
,buena_vista_(umamusume),,,,,,,,,,,,
,bug_miku_(project_voltage),,,,,,,,,,,,
,buggy_the_clown,,,,,,,,,,,,
,bugs_bunny,,,,,,,,,,,,
,bugsy_(pokemon),,,,,,,,,,,,
,buizel,,,,,,,,,,,,
,bulbasaur,,,,,,,,,,,,
,bullet_(blazblue),,,,,,,,,,,,
,bullet_bill,,,,,,,,,,,,
,bulleta,,,,,,,,,,,,
,bulma,,,,,,,,,,,,
,bumblebee_(transformers),,,,,,,,,,,,
,buneary,,,,,,,,,,,,
,bunny_nun_(diva),,,,,,,,,,,,
,buratei_marii,,,,,,,,,,,,
,burnice_white,,,,,,,,,,,,
,burnin_(boku_no_hero_academia),,,,,,,,,,,,
,burning_blaze,,,,,,,,,,,,
,buro_(muse_dash),,,,,,,,,,,,
,buront,,,,,,,,,,,,
,bushidou_(sekaiju),,,,,,,,,,,,
,bushidou_2_(sekaiju),,,,,,,,,,,,
,busujima_saeko,,,,,,,,,,,,
,butler_(zenless_zone_zero),,,,,,,,,,,,
,buttercup_(ppg),,,,,,,,,,,,
,butterfree,,,,,,,,,,,,
,buzzwole,,,,,,,,,,,,
,byakko_(kemono_friends),,,,,,,,,,,,
,byerley_turk_(umamusume),,,,,,,,,,,,
,byleth_(female)_(fire_emblem),,,,,,,,,,,,
,byleth_(female)_(summer)_(fire_emblem),,,,,,,,,,,,
,byleth_(fire_emblem),,,,,,,,,,,,
,byleth_(male)_(fire_emblem),,,,,,,,,,,,
,c-ms_(girls'_frontline),,,,,,,,,,,,
,c-sha,,,,,,,,,,,,
,c.c.,,,,,,,,,,,,
,c.c._lemon_(character),,,,,,,,,,,,
,c.i.e.l_(fate),,,,,,,,,,,,
,cabba,,,,,,,,,,,,
,cacnea,,,,,,,,,,,,
,cacodemon,,,,,,,,,,,,
,caeda_(fire_emblem),,,,,,,,,,,,
,cael_anselm,,,,,,,,,,,,
,caelus_(honkai:_star_rail),,,,,,,,,,,,
,caenis_(fate),,,,,,,,,,,,
,caenis_(swimsuit_rider)_(fate),,,,,,,,,,,,
,caenis_(swimsuit_rider)_(first_ascension)_(fate),,,,,,,,,,,,
,caesar_(girls_und_panzer),,,,,,,,,,,,
,caesar_anthonio_zeppeli,,,,,,,,,,,,
,caesar_king_(zenless_zone_zero),,,,,,,,,,,,
,cafe_cuties_gwen,,,,,,,,,,,,
,cagalli_yula_athha,,,,,,,,,,,,
,cagliostro_(granblue_fantasy),,,,,,,,,,,,
,cagliostro_(halloween)_(granblue_fantasy),,,,,,,,,,,,
,cagliostro_(symphogear),,,,,,,,,,,,
,cai_lin_(doupo_cangqiong),,,,,,,,,,,,
,caiman_(dorohedoro),,,,,,,,,,,,
,caine_(the_amazing_digital_circus),,,,,,,,,,,,
,cairngorm_(houseki_no_kuni),,,,,,,,,,,,
,cait_sith_(ff7),,,,,,,,,,,,
,cait_sith_(final_fantasy),,,,,,,,,,,,
